	site	biome	time	date	sitedepth	daynight	tidenumber	sequence	moonphase	tide	timefromtide	lat	lon	precip	offshoreseastate	weather	temp	salinity	doc	tn	po4	no2no3	silicate	no2	nh4	pro	syn	peuk	hbact	algae	cyan	HC	other	PV	rub	sand	SC	sponge	sealevel	sealevel_m
Control-1	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-2	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-3	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-E	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-S	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Negative-H2O	PCRnegative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Positive-33	N Atl seawater	eutrophic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
USVItide-60	Lameshur Seagrass	seagrass	5:13	2017-07-23	4.2	night	4-Ebb	4	new	Ebb	19	18.3177881	-64.7232301	none	1.2	cloudy	28.74	35.02	67.57	0	0.179	0.09	2.6	0.09	0.21	161438	51033	2363	1003205	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.41	0.126
USVItide-61	Cocoloba Reef	reef	5:36	2017-07-23	6.3	night	4-Ebb	4	new	Ebb	4	18.3154146	-64.7608498	none	1.2	cloudy	29.04	35.04	38.01	0	0.168	0.23	2.3	0.04	0.16	128447	30080	2222	806766	0.393333333	0.001666667	0.031666667	0.003333333	0.215	0.01	0.3	0.038333333	0.006666667	0.45	0.138
USVItide-62	Ditliff Reef	reef	5:41	2017-07-23	5.83	night	4-Ebb	4	new	Ebb	9	18.3139204	-64.7645268	none	1.2	cloudy	28.95	35.02	56.04	4	0.177	0.26	2.2	0.04	0.22	97720	20897	2208	670134	0.308333333	0	0.125	0.021666667	0.178333333	0.098333333	0.216666667	0.043333333	0.008333333	0.47	0.144
USVItide-63	Fish Bay Mangrove	mangrove	5:53	2017-07-23	0.6	night	4-Ebb	4	new	Ebb	21	18.3206508	-64.7621709	none	1.2	cloudy	28.93	36.6	155	6.96	0.307	0.11	4.9	0.12	0.49	0	12713	1898	1828125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	0.136
USVItide-64	Fish Bay Seagrass	seagrass	5:47	2017-07-23	1.85	night	4-Ebb	4	new	Ebb	15	18.3204429	-64.7633988	none	1.2	cloudy	29.82	35.31	83.61	6.46	0.216	0.56	2.5	0.15	0.49	28420	45267	2700	1392216	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	0.145
USVItide-65	Tektite Reef	reef	5:21	2017-07-23	11.06	night	4-Ebb	4	new	Ebb	11	18.3096396	-64.7222252	none	1.2	cloudy	28.84	34.91	58.54	0	0.162	0.03	2.6	0.06	0.19	178172	25200	1758	904345	0.468333333	0.035	0.275	0.016666667	0.07	0.025	0.063333333	0.036666667	0.01	0.45	0.013
USVItide-66	"Lameshur Mangrove, outlet"	mangrove	4:54	2017-07-23	0.72	night	4-Ebb	4	new	Ebb	38	18.3185583	-64.7242358	none	1	cloudy	28.37	36.01	175.94	11.93	0.261	0.75	5.8	0.24	1.87	91181	19589	3094	2250000	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	0.14
USVItide-75	Yawzi Reef	reef	14:00	2017-07-23	9.24	day	5-Low	5	new	Low	21	18.3145005	-64.7260978	none	1.1	cloudy	29.15	34.8	54.46	5.1	0.171	0.02	2.6	0.06	0.15	78483	8663	1013	792169	0.278333333	0.001666667	0.166666667	0.018333333	0.37	0.055	0.04	0.033333333	0.036666667	0.01	0.003
USVItide-76	Fish Bay Mangrove	mangrove	14:23	2017-07-23	0.5	day	5-Low	5	new	Low	44	18.3206508	-64.7621709	none	1.1	fair	31.76	37.17	315.37	16.3	0.553	0.04	9.1	0.13	1.4	0	1547	6328	3937500	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.004
USVItide-77	Tektite Reef	reef	13:57	2017-07-23	11.89	day	5-Low	5	new	Low	18	18.3096396	-64.7222252	none	1.2	cloudy	29.59	34.99	64.06	2.42	0.187	0.28	2	0.12	0.21	53958	10758	1898	579333	0.468333333	0.035	0.275	0.016666667	0.07	0.025	0.063333333	0.036666667	0.01	-0.01	0
